Species_Code;Species_Name;French_Name;Order;Family;Category;Species_Code_SAMM;SS_Group_OWFSOMM;Group_OWFSOMM;Color
CHRID;Chroicocephalus ridibundus;Mouette rieuse;Charadriiformes;Larides;ESPECE OISEAU;CHRRID;Small gull;Gull;#7ae582
CHRSPP;Chroicocephalus spp;Mouette sp;Charadriiformes;Larides;GENRE OISEAU;SMAGUL;Small gull;Gull;#7ae582
MINTRI;Hydrocoloeus minutus/Rissa tridactyla;Mouette pygmee/Mouette tridactyle;Charadriiformes;Larides;ESPECE OISEAU;MINTRI;Small gull;Gull;#7ae582
HYMIN;Hydrocoloeus minutus;Mouette pygmee;Charadriiformes;Larides;ESPECE OISEAU;LARMIN;Small gull;Gull;#7ae582
ICMEL;Ichthyaetus melanocephalus;Mouette melanocephale;Charadriiformes;Larides;ESPECE OISEAU;LARMEL;Small gull;Gull;#7ae582
XESAB;Xema sabini;Mouette de Sabine;Charadriiformes;Larides;ESPECE OISEAU;LARSAB;Small gull;Gull;#7ae582
RITRI;Rissa tridactyla;Mouette tridactyle;Charadriiformes;Larides;ESPECE OISEAU;RISTRI;Small gull;Gull;#7ae582
MAMMI;Mammifere marin;Mammifere marin;NA;NA;MAMMIFERE MARIN;MAMMI;Mammifere;Mammifere;#81c3d7
FP;Faux positif;Aucune observation sur SnapShot;NA;NA;NA;FP;Faux positif;Non-animal;#000000
AUTRES;Autres observations;Autres observations;Divers;NA;ANTROPIQUE;OTHER;Non-animal;Non-animal;#000000
BATCHA;Bateau Chalutier;Bateau Chalutier;Bateau;NA;ANTROPIQUE;TRAWLB;Non-animal;Non-animal;#000000
BATVOI;Bateau de plaisance a voile;Bateau de plaisance a voile;Bateau;NA;ANTROPIQUE;SAILBO;Non-animal;Non-animal;#000000
BATMOT;Bateau de plaisance a moteur;Bateau de plaisance a moteur;Bateau;NA;ANTROPIQUE;PLEABO;Non-animal;Non-animal;#000000
BATPEC;Bateau de peche professionnel;Bateau de peche professionnel;Bateau;NA;ANTROPIQUE;FISHBO;Non-animal;Non-animal;#000000
